"sampleName" "fileName" "Labels" "individual" "condition"
"B55_S9" "B55_S9_R1_001_merged_trimmed_GRCh38.star.bam_htseq_counts.txt" "B55" "B55" "Control"
"B55M_S12" "B55M_S12_R1_001_merged_trimmed_GRCh38.star.bam_htseq_counts.txt" "B55M" "B55" "Menstrual"
"B60_S1" "B60_S1_R1_001_merged_trimmed_GRCh38.star.bam_htseq_counts.txt" "B60" "B60" "Control"
"B60M_S3" "B60M_S3_R1_001_merged_trimmed_GRCh38.star.bam_htseq_counts.txt" "B60M" "B60" "Menstrual"
"B61_S5" "B61_S5_R1_001_merged_trimmed_GRCh38.star.bam_htseq_counts.txt" "B61" "B61" "Control"
"B61M_S7" "B61M_S7_R1_001_merged_trimmed_GRCh38.star.bam_htseq_counts.txt" "B61M" "B61" "Menstrual"
"B70_S10" "B70_S10_R1_001_merged_trimmed_GRCh38.star.bam_htseq_counts.txt" "B70" "B70" "Control"
"B70M_S13" "B70M_S13_R1_001_merged_trimmed_GRCh38.star.bam_htseq_counts.txt" "B70M" "B70" "Menstrual"
"B72_S2" "B72_S2_R1_001_merged_trimmed_GRCh38.star.bam_htseq_counts.txt" "B72" "B72" "Control"
"B72M_S4" "B72M_S4_R1_001_merged_trimmed_GRCh38.star.bam_htseq_counts.txt" "B72M" "B72" "Menstrual"
"B74_S6" "B74_S6_R1_001_merged_trimmed_GRCh38.star.bam_htseq_counts.txt" "B74" "B74" "Control"
"B74M_S8" "B74M_S8_R1_001_merged_trimmed_GRCh38.star.bam_htseq_counts.txt" "B74M" "B74" "Menstrual"
"B75_S11" "B75_S11_R1_001_merged_trimmed_GRCh38.star.bam_htseq_counts.txt" "B75" "B75" "Control"
"B75M_S14" "B75M_S14_R1_001_merged_trimmed_GRCh38.star.bam_htseq_counts.txt" "B75M" "B75" "Menstrual"
